fastq_filename	run_accession	paper_id	sample_alias	run_alias	sample_accession	secondary_sample_accession	experiment_accession	fastq_md5	fastq_ftp
ERR011058.fastq.gz	ERR011058	10BF	10BF	10BF	SAMEA732199	ERS008236	ERX004045	3433cd6d850f893bc74c0a84a1c80e6e	ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011058/ERR011058.fastq.gz
ERR011059.fastq.gz	ERR011059	10EU	10EU	10EU	SAMEA732196	ERS008233	ERX004021	ea6eedadf4c124e769c9c5f8c7bccc17	ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011059/ERR011059.fastq.gz
ERR011060.fastq.gz	ERR011060	11BF	11BF	11BF	SAMEA732197	ERS008230	ERX004018	9dfaf0ef551f758185f6fb276fe87d08	ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011060/ERR011060.fastq.gz
ERR011061.fastq.gz	ERR011061	11EU	11EU	11EU	SAMEA732198	ERS008231	ERX004022	467dba1c3c83e293b0d73e7a2ac85d2d	ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011061/ERR011061.fastq.gz
ERR011062.fastq.gz	ERR011062	12BF	12BF	12BF	SAMEA732201	ERS008234	ERX004037	3e0c6269a6722cb7cd912bb8995237fd	ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011062/ERR011062.fastq.gz
ERR011063.fastq.gz	ERR011063	12EU	12EU	12EU	SAMEA732176	ERS008243	ERX004027	df828bc1c720a3a556c77fbf93c6539e	ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011063/ERR011063.fastq.gz
ERR011064.fastq.gz	ERR011064	13BF	13BF	13BF	SAMEA732193	ERS008252	ERX004043	726edb66763255292d0c1c2cf403c989	ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011064/ERR011064.fastq.gz
ERR011065.fastq.gz	ERR011065	13EU	13EU	13EU	SAMEA732191	ERS008250	ERX004019	e4b25cc0bdc24019fe8d692629b5bb89	ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011065/ERR011065.fastq.gz
ERR011066.fastq.gz	ERR011066	15BF	15BF	15BF	SAMEA732181	ERS008246	ERX004017	3936dae65dcffddb127ac49de1f76eab	ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011066/ERR011066.fastq.gz
ERR011067.fastq.gz	ERR011067	16BF	16BF	16BF	SAMEA732186	ERS008227	ERX004033	3a970237385bb12e6e6022870d630e6a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011067/ERR011067.fastq.gz
ERR011068.fastq.gz	ERR011068	17BF	17BF	17BF	SAMEA732195	ERS008232	ERX004026	a6518e6684df03b0afec1a04618b1bc1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011068/ERR011068.fastq.gz
ERR011069.fastq.gz	ERR011069	17EU	17EU	17EU	SAMEA732190	ERS008254	ERX004028	dd414f43c49db1df094ba160ad4e63f6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011069/ERR011069.fastq.gz
ERR011070.fastq.gz	ERR011070	18EU	18EU	18EU	SAMEA732178	ERS008241	ERX004044	ff172efca65b8c3c1cc95339272d2d8f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011070/ERR011070.fastq.gz
ERR011071.fastq.gz	ERR011071	19EU	19EU	19EU	SAMEA732189	ERS008228	ERX004039	f79fa80bbc52ce4ac1d2fdb1919c37e0	ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011071/ERR011071.fastq.gz
ERR011072.fastq.gz	ERR011072	1EU	1EU	1EU	SAMEA732184	ERS008249	ERX004024	a0187054e7e978d548990c0ebe8ace4d	ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011072/ERR011072.fastq.gz
ERR011073.fastq.gz	ERR011073	20EU	20EU	20EU	SAMEA732183	ERS008244	ERX004020	691c8252475a055887501a1254d82b06	ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011073/ERR011073.fastq.gz
ERR011074.fastq.gz	ERR011074	21EU	21EU	21EU	SAMEA732194	ERS008253	ERX004038	66d4de8c81d8f99a8abbf2434f61a3fe	ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011074/ERR011074.fastq.gz
ERR011075.fastq.gz	ERR011075	2BF	2BF	2BF	SAMEA732202	ERS008235	ERX004036	89eedc068a3401adbc73c8958f2b5c97	ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011075/ERR011075.fastq.gz
ERR011076.fastq.gz	ERR011076	2EU	2EU	2EU	SAMEA732187	ERS008226	ERX004035	55a944f605eb575328124e37220fb7fe	ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011076/ERR011076.fastq.gz
ERR011077.fastq.gz	ERR011077	3BF	3BF	3BF	SAMEA732192	ERS008251	ERX004032	494f094bd72876394537bc1955c07864	ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011077/ERR011077.fastq.gz
ERR011078.fastq.gz	ERR011078	3EU	3EU	3EU	SAMEA732182	ERS008245	ERX004025	6e0c86bf1b3ae5bedac04420711cd059	ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011078/ERR011078.fastq.gz
ERR011079.fastq.gz	ERR011079	4BF	4BF	4BF	SAMEA732179	ERS008240	ERX004031	1581c1bbc9c7a42fae0a2ed15582b37a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011079/ERR011079.fastq.gz
ERR011080.fastq.gz	ERR011080	5EU	5EU	5EU	SAMEA732200	ERS008237	ERX004042	c98f78dcb125b494983d602d7c2c2354	ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011080/ERR011080.fastq.gz
ERR011081.fastq.gz	ERR011081	6BF	6BF	6BF	SAMEA732188	ERS008229	ERX004040	6cd8b1aac693afc205a64ab09ec5ed1d	ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011081/ERR011081.fastq.gz
ERR011082.fastq.gz	ERR011082	6EU	6EU	6EU	SAMEA732180	ERS008247	ERX004030	13fb957e92f0118b3650e579e8ebf016	ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011082/ERR011082.fastq.gz
ERR011083.fastq.gz	ERR011083	7BF	7BF	7BF	SAMEA732204	ERS008239	ERX004034	e1de15d3962e9564f2242f47c60fc48c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011083/ERR011083.fastq.gz
ERR011084.fastq.gz	ERR011084	8BF	8BF	8BF	SAMEA732177	ERS008242	ERX004023	c6b3f43f2c0ce48f5f0946ccd15ca996	ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011084/ERR011084.fastq.gz
ERR011085.fastq.gz	ERR011085	8EU	8EU	8EU	SAMEA732185	ERS008248	ERX004029	59936719f2fec1a889238de2a74c4d7e	ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011085/ERR011085.fastq.gz
ERR011086.fastq.gz	ERR011086	9BF	9BF	9BF	SAMEA732203	ERS008238	ERX004041	cdb1bb5fde8141732ccc4012755d5bad	ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011086/ERR011086.fastq.gz
